Segmento,NCM,Descrição,II_%,IPI_%,PIS_%,COFINS_%,Anuência,Origem,Destino,Incoterm,Moeda,Câmbio_BRLUSD,FOB,Frete_internacional,Seguro_internacional,Outras_despesas_origem,Outras_despesas_destino,Valor_aduaneiro_CIF,II_valor,Base_IPI,IPI_valor,Base_PIS_COFINS,PIS_valor,COFINS_valor,AFRMM,Taxa_Siscomex,ICMS,CBS_to_be,IBS_to_be,Custo_as_is,Custo_to_be
,3301.29.90,Outros,0.0,3.25,2.1,9.65,"ANVISA — RDC 16/2014, 752/2022, 949/2024, 907/2024",,,FOB,USD,,,,,,,=FOB+Frete_internacional+Seguro_internacional,=Valor_aduaneiro_CIF*II_%/100,=Valor_aduaneiro_CIF+II_valor,=Base_IPI*IPI_%/100,=Valor_aduaneiro_CIF+II_valor+IPI_valor,=Base_PIS_COFINS*PIS_%/100,=Base_PIS_COFINS*COFINS_%/100,,,,,,=FOB+Frete_internacional+Seguro_internacional+II_valor+IPI_valor+PIS_valor+COFINS_valor+AFRMM+Taxa_Siscomex+ICMS+Outras_despesas_origem+Outras_despesas_destino,=FOB+Frete_internacional+Seguro_internacional+II_valor+IPI_valor+AFRMM+Taxa_Siscomex+ICMS+CBS_to_be+IBS_to_be+Outras_despesas_origem+Outras_despesas_destino
,3301.30.00,- Resinoides,0.0,3.25,2.1,9.65,"ANVISA — RDC 16/2014, 752/2022, 949/2024, 907/2024",,,FOB,USD,,,,,,,=FOB+Frete_internacional+Seguro_internacional,=Valor_aduaneiro_CIF*II_%/100,=Valor_aduaneiro_CIF+II_valor,=Base_IPI*IPI_%/100,=Valor_aduaneiro_CIF+II_valor+IPI_valor,=Base_PIS_COFINS*PIS_%/100,=Base_PIS_COFINS*COFINS_%/100,,,,,,=FOB+Frete_internacional+Seguro_internacional+II_valor+IPI_valor+PIS_valor+COFINS_valor+AFRMM+Taxa_Siscomex+ICMS+Outras_despesas_origem+Outras_despesas_destino,=FOB+Frete_internacional+Seguro_internacional+II_valor+IPI_valor+AFRMM+Taxa_Siscomex+ICMS+CBS_to_be+IBS_to_be+Outras_despesas_origem+Outras_despesas_destino
,3301.90.10,"Soluções concentradas de óleos essenciais em gorduras, em óleos fixos, em ceras ou em matérias análogas, obtidas por tratamento de flores através de substâncias gordas ou por maceração",12.6,3.25,2.1,9.65,"ANVISA — RDC 16/2014, 752/2022, 949/2024, 907/2024",,,FOB,USD,,,,,,,=FOB+Frete_internacional+Seguro_internacional,=Valor_aduaneiro_CIF*II_%/100,=Valor_aduaneiro_CIF+II_valor,=Base_IPI*IPI_%/100,=Valor_aduaneiro_CIF+II_valor+IPI_valor,=Base_PIS_COFINS*PIS_%/100,=Base_PIS_COFINS*COFINS_%/100,,,,,,=FOB+Frete_internacional+Seguro_internacional+II_valor+IPI_valor+PIS_valor+COFINS_valor+AFRMM+Taxa_Siscomex+ICMS+Outras_despesas_origem+Outras_despesas_destino,=FOB+Frete_internacional+Seguro_internacional+II_valor+IPI_valor+AFRMM+Taxa_Siscomex+ICMS+CBS_to_be+IBS_to_be+Outras_despesas_origem+Outras_despesas_destino
,3301.90.20,Subprodutos terpênicos residuais da desterpenação dos óleos essenciais,12.6,3.25,2.1,9.65,"ANVISA — RDC 16/2014, 752/2022, 949/2024, 907/2024",,,FOB,USD,,,,,,,=FOB+Frete_internacional+Seguro_internacional,=Valor_aduaneiro_CIF*II_%/100,=Valor_aduaneiro_CIF+II_valor,=Base_IPI*IPI_%/100,=Valor_aduaneiro_CIF+II_valor+IPI_valor,=Base_PIS_COFINS*PIS_%/100,=Base_PIS_COFINS*COFINS_%/100,,,,,,=FOB+Frete_internacional+Seguro_internacional+II_valor+IPI_valor+PIS_valor+COFINS_valor+AFRMM+Taxa_Siscomex+ICMS+Outras_despesas_origem+Outras_despesas_destino,=FOB+Frete_internacional+Seguro_internacional+II_valor+IPI_valor+AFRMM+Taxa_Siscomex+ICMS+CBS_to_be+IBS_to_be+Outras_despesas_origem+Outras_despesas_destino
,3301.90.30,Águas destiladas aromáticas e soluções aquosas de óleos essenciais,12.6,3.25,2.1,9.65,"ANVISA — RDC 16/2014, 752/2022, 949/2024, 907/2024",,,FOB,USD,,,,,,,=FOB+Frete_internacional+Seguro_internacional,=Valor_aduaneiro_CIF*II_%/100,=Valor_aduaneiro_CIF+II_valor,=Base_IPI*IPI_%/100,=Valor_aduaneiro_CIF+II_valor+IPI_valor,=Base_PIS_COFINS*PIS_%/100,=Base_PIS_COFINS*COFINS_%/100,,,,,,=FOB+Frete_internacional+Seguro_internacional+II_valor+IPI_valor+PIS_valor+COFINS_valor+AFRMM+Taxa_Siscomex+ICMS+Outras_despesas_origem+Outras_despesas_destino,=FOB+Frete_internacional+Seguro_internacional+II_valor+IPI_valor+AFRMM+Taxa_Siscomex+ICMS+CBS_to_be+IBS_to_be+Outras_despesas_origem+Outras_despesas_destino
,3301.90.40,Oleorresinas de extração,7.2,3.25,2.1,9.65,"ANVISA — RDC 16/2014, 752/2022, 949/2024, 907/2024",,,FOB,USD,,,,,,,=FOB+Frete_internacional+Seguro_internacional,=Valor_aduaneiro_CIF*II_%/100,=Valor_aduaneiro_CIF+II_valor,=Base_IPI*IPI_%/100,=Valor_aduaneiro_CIF+II_valor+IPI_valor,=Base_PIS_COFINS*PIS_%/100,=Base_PIS_COFINS*COFINS_%/100,,,,,,=FOB+Frete_internacional+Seguro_internacional+II_valor+IPI_valor+PIS_valor+COFINS_valor+AFRMM+Taxa_Siscomex+ICMS+Outras_despesas_origem+Outras_despesas_destino,=FOB+Frete_internacional+Seguro_internacional+II_valor+IPI_valor+AFRMM+Taxa_Siscomex+ICMS+CBS_to_be+IBS_to_be+Outras_despesas_origem+Outras_despesas_destino
,3302.10.00,- Do tipo utilizado para as indústrias alimentares ou de bebidas,12.6,3.25,2.1,9.65,"ANVISA — RDC 16/2014, 752/2022, 949/2024, 907/2024",,,FOB,USD,,,,,,,=FOB+Frete_internacional+Seguro_internacional,=Valor_aduaneiro_CIF*II_%/100,=Valor_aduaneiro_CIF+II_valor,=Base_IPI*IPI_%/100,=Valor_aduaneiro_CIF+II_valor+IPI_valor,=Base_PIS_COFINS*PIS_%/100,=Base_PIS_COFINS*COFINS_%/100,,,,,,=FOB+Frete_internacional+Seguro_internacional+II_valor+IPI_valor+PIS_valor+COFINS_valor+AFRMM+Taxa_Siscomex+ICMS+Outras_despesas_origem+Outras_despesas_destino,=FOB+Frete_internacional+Seguro_internacional+II_valor+IPI_valor+AFRMM+Taxa_Siscomex+ICMS+CBS_to_be+IBS_to_be+Outras_despesas_origem+Outras_despesas_destino
,3302.90.11,Vetiverol,12.6,3.25,2.1,9.65,"ANVISA — RDC 16/2014, 752/2022, 949/2024, 907/2024",,,FOB,USD,,,,,,,=FOB+Frete_internacional+Seguro_internacional,=Valor_aduaneiro_CIF*II_%/100,=Valor_aduaneiro_CIF+II_valor,=Base_IPI*IPI_%/100,=Valor_aduaneiro_CIF+II_valor+IPI_valor,=Base_PIS_COFINS*PIS_%/100,=Base_PIS_COFINS*COFINS_%/100,,,,,,=FOB+Frete_internacional+Seguro_internacional+II_valor+IPI_valor+PIS_valor+COFINS_valor+AFRMM+Taxa_Siscomex+ICMS+Outras_despesas_origem+Outras_despesas_destino,=FOB+Frete_internacional+Seguro_internacional+II_valor+IPI_valor+AFRMM+Taxa_Siscomex+ICMS+CBS_to_be+IBS_to_be+Outras_despesas_origem+Outras_despesas_destino
,3302.90.19,Outras,12.6,3.25,2.1,9.65,"ANVISA — RDC 16/2014, 752/2022, 949/2024, 907/2024",,,FOB,USD,,,,,,,=FOB+Frete_internacional+Seguro_internacional,=Valor_aduaneiro_CIF*II_%/100,=Valor_aduaneiro_CIF+II_valor,=Base_IPI*IPI_%/100,=Valor_aduaneiro_CIF+II_valor+IPI_valor,=Base_PIS_COFINS*PIS_%/100,=Base_PIS_COFINS*COFINS_%/100,,,,,,=FOB+Frete_internacional+Seguro_internacional+II_valor+IPI_valor+PIS_valor+COFINS_valor+AFRMM+Taxa_Siscomex+ICMS+Outras_despesas_origem+Outras_despesas_destino,=FOB+Frete_internacional+Seguro_internacional+II_valor+IPI_valor+AFRMM+Taxa_Siscomex+ICMS+CBS_to_be+IBS_to_be+Outras_despesas_origem+Outras_despesas_destino
,3302.90.91,Misturas à base de substâncias odoríferas apresentadas sob a forma de microcápsulas,0.0,3.25,2.1,9.65,"ANVISA — RDC 16/2014, 752/2022, 949/2024, 907/2024",,,FOB,USD,,,,,,,=FOB+Frete_internacional+Seguro_internacional,=Valor_aduaneiro_CIF*II_%/100,=Valor_aduaneiro_CIF+II_valor,=Base_IPI*IPI_%/100,=Valor_aduaneiro_CIF+II_valor+IPI_valor,=Base_PIS_COFINS*PIS_%/100,=Base_PIS_COFINS*COFINS_%/100,,,,,,=FOB+Frete_internacional+Seguro_internacional+II_valor+IPI_valor+PIS_valor+COFINS_valor+AFRMM+Taxa_Siscomex+ICMS+Outras_despesas_origem+Outras_despesas_destino,=FOB+Frete_internacional+Seguro_internacional+II_valor+IPI_valor+AFRMM+Taxa_Siscomex+ICMS+CBS_to_be+IBS_to_be+Outras_despesas_origem+Outras_despesas_destino
